;Dytiscidae;Laccophilinae;Notaticus;Paramegadytes;Dryopidae;Pelonomus;Austrolimnius;Cylloepus;Gênero X;Gyrelmis;Heterelmis;Hexacylloepus;Macrelmis;Microcylloepus;Neocylloepus;Neoelmis;Phanocerus;Xenelmis;Dineutus;Gyretes;Hydraena;Hydroscaphidae;Eubrianax;Scirtidae
#01-SP;0;1;0;0;1;0;1;8;0;2;10;1;0;6;0;2;12;0;1;1;1;0;7;0
#02-SP;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
#03-SP;1;0;0;0;0;0;1;0;1;2;9;2;0;0;0;2;1;0;0;0;0;1;1;0
#05-SP;0;0;0;0;0;0;1;0;1;2;9;2;0;0;0;2;1;0;0;0;0;1;1;0
#06-SP;0;0;0;0;0;0;1;1;0;0;15;5;0;0;5;0;6;0;0;0;0;0;5;0
#07-SP;0;0;0;1;0;0;1;0;0;1;1;3;0;0;0;4;4;3;0;0;0;0;4;0
#08-SP;0;0;1;0;3;1;5;0;1;3;11;7;1;2;0;0;5;9;0;0;0;0;0;0
#09-SP;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;5;4;0;1;0;0;0;0;0
#10-SP;0;0;0;0;1;3;0;0;0;5;13;9;0;;2;4;1;0;0;0;0;0;0;1
#11-SP;0;0;0;0;0;0;2;1;0;2;2;0;0;0;0;1;4;0;0;2;0;0;14;0
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
