;Carabidae;COLEOPTERA;Dytiscidae;Trifurcitus;Dryopidae;Dryops;Elmoparnus;Pelonomus;Austrolimnius;Cylloepus;Gênero M;Gênero X;Gênero Y;Gênero W;Gyrelmis;Heterelmis;Hexacylloepus;Macrelmis;Microcylloepus;Neocylloepus;Neoelmis;Notelmis;Oolimnius;Phanocerus;Stenhelmoides;Xenelmis;Gyretes;Hydraenidae;Hydrophilidae;Berosus;Lampyridae;Noteridae;Eubrianax;Scirtes
#12-SP;0;0;6;0;1;0;0;2;3;6;0;0;0;0;0;8;8;0;0;0;2;0;0;4;0;4;1;1;0;8;0;3;1;0
#13-SP;0;0;1;0;4;1;0;1;0;1;0;0;0;4;1;3;2;3;0;2;4;0;0;1;0;3;4;0;0;9;0;3;1;0
#15-SP;1;0;0;0;1;0;0;5;0;1;0;0;0;0;0;16;2;5;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0
#16-SP;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;15;9;0;0;1;0;0;0;1;14;0;0;0;0;0;0;0;0
#17-SP;0;0;0;0;0;1;1;16;25;6;0;1;0;0;3;18;3;2;1;0;6;0;0;13;1;1;0;0;0;0;1;1;1;0
#18-SP;0;1;0;0;2;0;1;1;2;0;0;0;0;0;1;21;3;1;0;0;0;1;0;8;0;2;0;0;1;0;1;0;0;0
#20-SP;0;0;0;0;2;0;0;0;0;4;1;0;0;0;1;6;1;1;1;1;2;0;0;20;0;0;0;0;0;1;0;1;0;0
#21-SP;0;0;0;0;1;3;2;0;1;1;0;0;0;0;0;9;3;3;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0
#22-SP;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;5;0;20;0;0;1;0;1;2;0;1;1;0;0;0;0;0;0;0
#23-SP;0;0;0;2;1;1;1;2;8;4;0;5;4;0;2;20;1;8;2;1;3;1;0;0;0;27;1;0;0;0;0;0;0;2
